Title,drwg_link,icon
BF2 FMS PLC 1R1-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-1-panel.pdf,https://cdn0.iconfinder.com/data/icons/robotics-engineering-8/64/Microcontroller-mainboard-processor-chip-operator-256.png
BF2 FMS PLC 1R1-2 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-2-panel.pdf,https://cdn3.iconfinder.com/data/icons/vol-2/128/chip-256.png
BF2 FMS PLC 1R1-3 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-3-panel.pdf,https://cdn3.iconfinder.com/data/icons/chat-bot-blue-filled-color/300/215314424Untitled-3-256.png
BF2 FMS PLC 1R1-4 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-4-panel.pdf,https://cdn2.iconfinder.com/data/icons/robotics-butterscotch-vol-1/512/AI-256.png
BF2 FMS PLC 1R1-5 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-5-panel.pdf,https://cdn3.iconfinder.com/data/icons/science-indigo-vol-1/256/Electronics-256.png
BF2 FMS PLC 1R1-6 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-6-panel.pdf,https://cdn4.iconfinder.com/data/icons/it-components-2/24/microchip_processor_chip_cpu_fast_turbo_boost-256.png
BF2 GCP PLC 8R1-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-gcp-plc-8r1-1-panel.pdf,https://cdn4.iconfinder.com/data/icons/seo-and-digital-marketing-2-2/128/80-256.png
BF2 GCP PLC 8R1-2 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-gcp-plc-8r1-2-panel.pdf,https://cdn2.iconfinder.com/data/icons/engineering-butterscotch-vol-1/512/Electronics-512.png
BF2 STOVES PLC 10R1-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stoves-plc-10r1-1-panel.pdf,https://cdn2.iconfinder.com/data/icons/engineering-butterscotch-vol-1/512/Circuit_Board-512.png
BF2 STOVES PLC 10R1-2 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stoves-plc-10r1-2-panel.pdf,https://cdn4.iconfinder.com/data/icons/big-data-free/32/Data-08-256.png
BF2 STOVES PLC 10R1-3 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stoves-plc-10r1-3-panel.pdf,https://cdn3.iconfinder.com/data/icons/network-and-communications-8/32/network_hardware_processor_microprocessor-256.png
BF2 STOVES PLC 10R2-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stoves-plc-10r2-1-panel.pdf,https://cdn4.iconfinder.com/data/icons/it-components-2/24/microchip_processor_chip_cpu_hot_burn-256.png
BF2 BLT CRANE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-blt-crane.pdf,https://cdn0.iconfinder.com/data/icons/logistics-rounded-volume-1/512/Container_Crane-256.png
BF2 BLT EOT CRANE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-blt-eot-crane.pdf,https://cdn4.iconfinder.com/data/icons/construction-icon-set/748/Flat_Design_Single_05_2016_construction_30-256.png
BF3 CONVEYOR ROUTE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf3-conveyor-route.pdf,https://cdn4.iconfinder.com/data/icons/manufacturing-flat/48/worker_conveyor-256.png
BF3 COUT OFF VALVE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf3-cut-off-valve.pdf,https://cdn4.iconfinder.com/data/icons/flat-industrial-equipment-1/32/fluid_shut_off_close_open_butterfly_valve-256.png
BF3 PUSHER CAR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf3-pusher-car.pdf,https://cdn3.iconfinder.com/data/icons/transport-99/92/40-256.png
BF3 315KW SLURRY PUMP DELTA DRIVE DDP-VZ-355-21-A01,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/04/bf3-315kw-slurry-pump-delta-drive-ddp-vz-355-21-a01.pdf,https://cdn4.iconfinder.com/data/icons/it-components-2/24/hard_drive_disc_memory-256.png
BF3 CASTHOUSE CRANE EOT 35/10T CRANE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/11/ring-crane-drawing.pdf,https://cdn2.iconfinder.com/data/icons/civil-engineering-soft-fill/60/Crane-Operation-machinery-vehicle-crane-operation-wood-512.png
BF3 DELTA DRIVE CH2000 USER MANUAL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/11/south-side-eot-main-hoist-delta-drive.pdf,https://cdn0.iconfinder.com/data/icons/education-knowledge/48/know_how-1024.png
BF3 EMERGENCY PANEL SCHEME,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/11/emg-pnl-scheme.pdf,https://cdn2.iconfinder.com/data/icons/industry-filled-outline-3/340/fire_mechanical_industry_industrial_welding_emergency_accident-512.png
BF3 CAST HOUSE LOTUS RADIO REMOTE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/11/lotus-wireless-remote.pdf,https://cdn0.iconfinder.com/data/icons/robotics-engineering-11/64/Remote-control-joystick-radio-console-512.png
BF3 STOVES MODIFIED,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/11/hot-stoves-modified.pdf,https://cdn0.iconfinder.com/data/icons/security-protection/64/Security-52-512.png
BF3 ROCKING RUNNER RR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/11/rockingrunner-rr.pdf,https://cdn0.iconfinder.com/data/icons/equipments-and-item-fantasy-game/600/plank_wood_wooden_board_timber_surface-512.png
BF3 POWER SYSTEM SCHEME,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/11/bf-3-power-system.pdf,https://cdn4.iconfinder.com/data/icons/signal-and-prohibitions-1/64/signal_and_prohibition-08-512.png
BF3 DCS CONFIGUARATION,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/11/dcs-configaration-new.pdf,https://cdn1.iconfinder.com/data/icons/marketing-and-seo-color-line-set/64/marketing-04-512.png
BF3 Drag Chain Conveyor DCC DRAWING,https://bfapps75845438.wordpress.com/wp-content/uploads/2024/02/bf3-drag-chain-conveyor-dcc-drawing.pdf,https://cdn0.iconfinder.com/data/icons/supply-chain-dualine-flat/64/Conveyor-128.png
BHS 1 CENTRE COKE FINES CONVEYORS PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/08/bhs-1-centre-coke_fines-mcc-_c_uic0_rb_93_012-e_str012_02_scan.pdf,https://cdn1.iconfinder.com/data/icons/power-and-energy-10/48/vector_764_01-256.png
BHS1 PLC PANEL DRAWINGS,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/12/bhs1_plc_final_drawing.pdf,https://cdn4.iconfinder.com/data/icons/miscellaneous-405-color-shadow/128/plc_controller_network_programming_digital_equipment_automatic_cabinet_circuit-512.png
BHS1 D1 PLC PANEL DRAWINGS,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/12/d1_plc_panel_drawing.pdf,https://cdn1.iconfinder.com/data/icons/cloud-data-color-shadow/128/computer-hardware_electronic_circuit_technology_motherboard_chip-256.png
BHS 2 CENTRE COKE FINES CONVEYORS PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/12/bhs-2-edited.pdf,https://cdn4.iconfinder.com/data/icons/industry-ultra/60/056_-_Coal-512.png
BHS 3 CK3A DRIVE 1,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-ck3a-drive-1.pdf,https://cdn0.iconfinder.com/data/icons/mining-glyph/100/mining-32-256.png
BHS 3 CK3A DRIVE 2,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-ck3a-drive-2.pdf,https://cdn0.iconfinder.com/data/icons/mining-filled-line/100/mining-52-512.png
BHS 3 CK3B CARRIAGE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-ck3b-carriage.pdf,https://cdn3.iconfinder.com/data/icons/industrial-process-filled-line/2048/5842_-_Conveyor_III-256.png
BHS 3 CK3B CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-ck3b-conveyor.pdf,https://cdn1.iconfinder.com/data/icons/mining-4/200/663-256.png
BHS 3 CK4A DRIVE 1,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-ck4a-drive-1.pdf,https://cdn2.iconfinder.com/data/icons/mining-8/500/716-256.png
BHS 3 CK4A DRIVE 2,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-ck4a-drive-2.pdf,https://cdn0.iconfinder.com/data/icons/factory-garbage-waste/100/waste_sorting_conveyor_belt_color_industry_plant-256.png
BHS 3 CKF1 CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-ckf1-conveyor.pdf,https://cdn1.iconfinder.com/data/icons/industry-cartoon-2/512/g24598-256.png
BHS 3 CKF2 CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-ckf2-conveyor.pdf,https://cdn4.iconfinder.com/data/icons/fineline-fill-cargo-shipping-and-logistics/128/cargo_shipping_logstics_transport-21-256.png
BHS 3 CO68A HT CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-co68a-ht-conveyor.pdf,https://cdn3.iconfinder.com/data/icons/logistics-shipping-7/64/conveyor_belt_cardboard_boxes_box_factory_industry-256.png
BHS 3 CO69A CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-co69a-conveyor.pdf,https://cdn4.iconfinder.com/data/icons/conveyor-factory-tool-1/100/conveyor_01_01_06_conveyer_belt_factory_tool_plant_equipment_transportation-256.png
BHS 3 RSCO14A CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-rsco14-conveyor.pdf,https://cdn4.iconfinder.com/data/icons/manufacture-robotics-1/50/39-256.png
BHS 3 RSCO14A CARRIAGE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-rsco14a-carriage.pdf,https://cdn2.iconfinder.com/data/icons/coal-industry/500/vab263_10_coal_conveyor_isometric_cartoon_belt_industry_mine-256.png
BHS 3 SC4 CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-sc-4.pdf,https://cdn1.iconfinder.com/data/icons/chicken-coop/1200/Single_3CartoonKuryatnikAnnSo-256.png
BHS 3 SC2A CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-sc2a-conveyor.pdf,https://cdn3.iconfinder.com/data/icons/industrial-process-flat-colorful/2048/5840_-_Conveyor_I-256.png
BHS 3 SC3 CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-sc3-conveyor.pdf,https://cdn0.iconfinder.com/data/icons/factory-garbage-waste-1/100/waste_sorting_conveyor_belt_industry_plant_burning-128.png
BHS 3 SFC2 CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-sfc-2-conveyor.pdf,https://cdn0.iconfinder.com/data/icons/manufacturing-process-1/100/manufacturing_conveyor_belt_car_products_factory_settings-256.png
BHS 3 SFC5 CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-sfc5-conveyor.pdf,https://cdn4.iconfinder.com/data/icons/cyber-buying-commerce-and-shipping/67/27-256.png
BHS 3 SFC6 CONVEYOR,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs-3-sfc-6-conveyor.pdf,https://cdn0.iconfinder.com/data/icons/logistic-82/55/5-256.png
BHS 3 SC2A CARRIAGE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bhs3-sc2a-carriage.pdf,https://cdn3.iconfinder.com/data/icons/shipping-and-delivery-38/52/67-256.png
LRS 403 CRANE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/lrs-404.pdf,https://cdn3.iconfinder.com/data/icons/disaster-and-weather-conditions/48/67-256.png
LRS 404 CRANE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/lrs-403.pdf,https://cdn0.iconfinder.com/data/icons/logistics-rounded-volume-1/512/Container_Crane-128.png
PSY CRANES,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/psy-cranes.pdf,https://cdn1.iconfinder.com/data/icons/timber-industry-1/512/g30788-256.png
SSY CRANES,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/ssy-cranes.pdf,https://cdn4.iconfinder.com/data/icons/ships-boats/120/cargoship_bulk-2-512.png
PCM LADDLE TILTING WINCH,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/tilting-winch.pdf,https://cdn4.iconfinder.com/data/icons/house-foundation-base-1/100/foundation_pouring_base_concrete_brick_building_broken-256.png
TILTING WINCH LOGIC,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/ltw.pdf,https://cdn1.iconfinder.com/data/icons/manufacturing-flaticon/64/winch-construction_and_tools-hoist-construction_site-electronics-machinery-256.png
"PSY 1,2 &4 MAGNET",https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/psy-124-super-lift-magnet-power-drawing.pdf,https://cdn1.iconfinder.com/data/icons/transportation-330/100/Port_Crane-256.png
PSY 1&2 YESKAWA DRAWINGS,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/psy-crane-12-yeskawa-drawings.pdf,https://cdn3.iconfinder.com/data/icons/junkyard-car-scrap-site/586/junkyard-006-256.png
SSY CRANE AMTECH VT240S VFD MANUAL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/06/ssy-crane-vfd-amtech-vt240s-manual.pdf,https://cdn4.iconfinder.com/data/icons/industrial-production-factory-automation-smart-ind/133/Control_Panel-256.png
SSY CRANE DELTA CH2000 VFD MANUAL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/06/ssy-crane-vfd-delta-ch2000-manual.pdf,https://cdn4.iconfinder.com/data/icons/industrial-production-factory-automation-smart-ind/133/Control_Panel-256.png
BF1 BLT JIB CRANE,https://bfapps75845438.wordpress.com/wp-content/uploads/2023/03/bf1-blt-jib-crane-hoist.pdf,https://cdn0.iconfinder.com/data/icons/logistics-rounded-volume-1/512/Container_Crane-128.png
Schneider SCADA software loading MANUAL,https://bfapps75845438.wordpress.com/wp-content/uploads/2024/02/schneider-scada-software-loading-manual.pdf,https://cdn3.iconfinder.com/data/icons/help-and-support-33/512/manual-wrench-guide-user_manual-book-128.png
Nitrogen PRS for BF1 2 3,https://bfapps75845438.wordpress.com/wp-content/uploads/2024/06/nitrogen-prs-for-bf1-2-3.pdf,https://cdn2.iconfinder.com/data/icons/power-and-energy-5/48/vector_685_20-1024.png